(13357, 10, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(16743, 11, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(18023, 12, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(21102, 13, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(21621, 14, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(22871, 15, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(25255, 16, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(28209, 17, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(31972, 18, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(32785, 19, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(35190, 20, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(35818, 21, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(47683, 22, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106, 5107)
(13909, 23, 5020, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106)
(16583, 24, 5020, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106)
(20072, 25, 5020, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106)
(25025, 26, 5020, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106)
(28768, 27, 5020, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106)
(36401, 28, 5020, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106)
(43555, 29, 5020, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106)
(44904, 30, 5020, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106)
(48987, 31, 5020, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106)
(49424, 32, 5020, 5021, 5030, 5046, 5053, 5063, 5079, 5089, 5099, 5106)
(10946, 33, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(11912, 34, 5101, 5093, 5083, 5066, 5057, 5048, 5041, 5033, 5024, 5023)
(12184, 35, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(13633, 36, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(13682, 37, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(14874, 38, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(14941, 39, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(15681, 40, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(15925, 41, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(18337, 42, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(18711, 43, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(19492, 44, 5101, 5093, 5083, 5066, 5057, 5048, 5041, 5033, 5024, 5023)
(20040, 45, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(20689, 46, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(21159, 47, 5101, 5093, 5083, 5066, 5057, 5048, 5041, 5033, 5024, 5023)
(21701, 48, 5101, 5093, 5083, 5066, 5057, 5048, 5041, 5033, 5024, 5023)
(22380, 49, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(23696, 50, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(23822, 51, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(25481, 52, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(26749, 53, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(26888, 54, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(28363, 55, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(30199, 56, 5101, 5093, 5083, 5066, 5057, 5048, 5041, 5033, 5024, 5023)
(30387, 57, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(30391, 58, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(30671, 59, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(33054, 60, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(33310, 61, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(33415, 62, 5101, 5093, 5083, 5066, 5057, 5048, 5041, 5033, 5024, 5023)
(35749, 63, 5101, 5093, 5083, 5066, 5057, 5048, 5041, 5033, 5024, 5023)
(36347, 64, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(36443, 65, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(36497, 66, 5101, 5093, 5083, 5066, 5057, 5048, 5041, 5033, 5024, 5023)
(37613, 67, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(38222, 68, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(39059, 69, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(39386, 70, 5101, 5093, 5083, 5066, 5057, 5048, 5041, 5033, 5024, 5023)
(40835, 71, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(41920, 72, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(41963, 73, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(42340, 74, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(43822, 75, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
(45906, 76, 5023, 5024, 5033, 5041, 5048, 5057, 5066, 5083, 5093, 5101)
